id,slug,category,name_fr,name_en,short_fr,short_en,description_fr,description_en,price,compare_at_price,images,width,depth,height,materials_fr,materials_en,finish_fr,finish_en,colors_fr,colors_en,in_stock,made_to_order,lead_time_days,featured
CNS-001,console-visages-polychromes,consoles,Console Visages — polychrome,Visages console — polychrome,"Trois visages stylisés en aplats orange, safran et vert profond.","Three stylised faces in flat orange, saffron and deep green.","Trois visages de face, découpés en aplats d'orange, de safran, de vert profond et de bleu canard, courent sur toute la façade. Les traits sont posés au trait noir, à la manière d'un vitrail moderne, et se lisent d'un bout à l'autre du meuble : les portes disparaissent dans le dessin.

Une pièce qui donne sa couleur à toute l'entrée. Elle se pose sur un mur clair, sans rien d'autre autour, et suffit à elle seule.","Three frontal faces, cut into flats of orange, saffron, deep green and teal, run the full width of the front. The features are drawn in black line, like a modern stained-glass window, and read from one end of the piece to the other: the doors vanish into the drawing.

A piece that gives a whole entrance its colour. Put it on a pale wall with nothing else around it — it is enough on its own.",0,,console-visages-polychromes-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Orange|Safran|Vert profond|Bleu canard,Orange|Saffron|Deep green|Teal,oui,oui,,non
CNS-002,console-courbes-terre-et-sauge,consoles,Console Courbes — terre & sauge,Courbes console — earth & sage,"Courbes libres en terre brûlée, sauge et sable sur fond clair.","Free-flowing curves in burnt earth, sage and sand on a pale ground.","Des courbes larges se croisent et se recouvrent sur toute la façade, en terre brûlée, sauge, sable et ocre. Le dessin est abstrait mais chaleureux : aucune figure, seulement des masses de couleur qui se répondent.

C'est la console la plus facile à marier de la série — elle prend la lumière du matin sans jamais durcir la pièce. Belle en entrée comme derrière un canapé.","Broad curves cross and overlap across the whole front in burnt earth, sage, sand and ochre. The drawing is abstract but warm: no figures, only masses of colour answering one another.

The easiest piece in the series to live with — it takes morning light without ever hardening the room. As good in an entrance as behind a sofa.",0,,console-courbes-terre-et-sauge-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Terre brûlée|Sauge|Sable|Ocre,Burnt earth|Sage|Sand|Ochre,oui,oui,,non
CNS-003,console-visages-au-trait,consoles,Console Visages au trait,Line-drawn Visages console,"Trois visages dessinés au trait noir sur bois clair, sans couleur.","Three faces drawn in black line on pale wood, no colour.","Le même sujet que la console Visages, mais réduit à l'essentiel : un trait noir continu, posé sur le bois clair laissé nu. Trois visages, quelques lignes, rien de plus.

C'est la version discrète de la série. Elle se glisse dans un intérieur déjà chargé — un tapis à motifs, un mur coloré — sans entrer en concurrence avec lui.","The same subject as the Visages console, reduced to essentials: one continuous black line laid over bare pale wood. Three faces, a few strokes, nothing more.

This is the quiet version of the series. It slips into an already busy interior — a patterned rug, a coloured wall — without competing with it.",0,,console-visages-au-trait-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Bois clair|Noir,Pale wood|Black,oui,oui,,non
CNS-004,console-visages-sepia,consoles,Console Visages — sépia,Visages console — sepia,"Visages cubistes en sépia, noir et sable, façon fresque ancienne.","Cubist faces in sepia, black and sand, like an old fresco.","Trois visages cubistes, traités en sépia, noir et sable, avec la matière irrégulière d'une fresque qu'on aurait dégagée d'un mur. Les regards sont décalés, jamais alignés : c'est ce qui donne au meuble son mouvement.

La palette sourde permet de la poser dans un intérieur beige ou marbré sans rupture. C'est la pièce de la série qui vieillit le mieux.","Three cubist faces in sepia, black and sand, with the uneven surface of a fresco lifted off a wall. The gazes are offset, never aligned — that is what gives the piece its movement.

The muted palette lets it sit in a beige or marbled interior without a break. This is the piece in the series that ages best.",0,,console-visages-sepia-1.webp|console-visages-sepia-2.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Sépia|Noir|Sable,Sepia|Black|Sand,oui,oui,,non
CNS-005,console-arcs-camel-et-noir,consoles,Console Arcs — camel & noir,Arcs console — camel & black,"Grands arcs camel, noir et crème, dessinés à cheval sur les portes.","Large camel, black and cream arcs drawn straight across the doors.","De grands arcs se déploient sur toute la façade, en camel, noir et crème, avec la transparence d'un lavis. Le dessin ignore les portes et passe par-dessus : fermée, la console est une seule image.

Elle a été photographiée en hall d'immeuble comme en entrée d'appartement — c'est la plus graphique de la série, et celle qui supporte le mieux les grands volumes.","Large arcs open across the entire front in camel, black and cream, with the transparency of a wash. The drawing ignores the doors and runs straight over them: closed, the console is a single image.

It has been photographed in a lobby as well as in a flat entrance — the most graphic piece in the series, and the one that best holds a large volume.",0,,console-arcs-camel-et-noir-1.webp|console-arcs-camel-et-noir-2.webp|console-arcs-camel-et-noir-3.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Camel|Noir|Crème,Camel|Black|Cream,oui,oui,,oui
CNS-006,console-arcs-noir-et-blanc,consoles,Console Arcs — noir & blanc,Arcs console — black & white,"Le dessin Arcs en noir, blanc et gris, sans aucune couleur.","The Arcs drawing in black, white and grey, with no colour at all.","Le même dessin que la console Arcs, entièrement repris en noir, blanc et gris fumée. Les courbes se superposent en transparence et créent une profondeur que la couleur, ici, ne vient pas troubler.

À réserver aux intérieurs contemporains : marbre clair, murs blancs, métal noir. C'est la pièce la plus stricte du catalogue.","The same drawing as the Arcs console, taken entirely into black, white and smoke grey. The curves overlap in transparency and build a depth that colour, here, never disturbs.

For contemporary interiors: pale marble, white walls, black metal. The most severe piece in the catalogue.",0,,console-arcs-noir-et-blanc-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Noir|Blanc|Gris,Black|White|Grey,oui,oui,,non
CNS-007,console-couronne,consoles,Console Couronne,Couronne console,"Personnage couronné et signes griffonnés, esprit art urbain.","A crowned figure and scrawled signs, in a street-art spirit.","Un personnage couronné occupe le centre de la façade, entouré de signes, de chiffres et de mots griffonnés sur un fond crème. Le dessin est volontairement brut, tracé au noir et rehaussé d'or.

C'est la pièce de caractère du catalogue : elle se pose seule, dans une entrée sombre ou un salon très sobre, et fait office de tableau autant que de meuble.","A crowned figure holds the centre of the front, surrounded by signs, numbers and scrawled words on a cream ground. The drawing is deliberately raw, laid down in black and lifted with gold.

The statement piece of the catalogue: place it on its own, in a dark entrance or a very plain living room, and it works as much as a painting as a cabinet.",0,,console-couronne-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Crème|Noir|Or,Cream|Black|Gold,oui,oui,,non
CNS-008,console-feuillage-beige-et-noir,consoles,Console Feuillage — beige & noir,Feuillage console — beige & black,Une branche et des formes pleines noires sur fond beige nuagé.,A branch and solid black shapes on a clouded beige ground.,"Une branche stylisée traverse la façade à droite, équilibrée à gauche par deux formes pleines noires — un croissant, un demi-disque. Le fond beige est nuagé, jamais uni, ce qui adoucit le contraste.

Deux couleurs suffisent. C'est la console la plus simple à placer du catalogue, et celle qui fonctionne aussi bien en villa qu'en appartement.","A stylised branch crosses the front on the right, balanced on the left by two solid black shapes — a crescent and a half-disc. The beige ground is clouded rather than flat, which softens the contrast.

Two colours are enough. The easiest console in the catalogue to place, and one that works as well in a villa as in a flat.",0,,console-feuillage-beige-et-noir-1.webp|console-feuillage-beige-et-noir-2.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Beige|Noir,Beige|Black,oui,oui,,non
CNS-009,console-calligraphie,consoles,Console Calligraphie,Calligraphie console,"De larges coups de pinceau noirs, jetés d’un seul geste sur le bois.","Broad black brushstrokes, thrown across the wood in one gesture.","Quelques coups de pinceau noirs, larges et rapides, traversent toute la façade sur un fond de bois clair. Le geste est laissé visible : les bavures et les fins de course font partie du dessin.

Elle apporte du mouvement à un mur nu sans rien lui ajouter de décoratif. À placer là où le regard tombe en entrant.","A few broad, fast black brushstrokes cross the entire front on a pale wood ground. The gesture is left visible: the bleeds and the tail-offs are part of the drawing.

It brings movement to a bare wall without adding anything decorative. Place it where the eye lands as you walk in.",0,,console-calligraphie-1.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Bois clair|Noir,Pale wood|Black,oui,oui,,non
CNS-010,console-patine-terracotta,consoles,Console Patine — terracotta & bleu canard,Patine console — terracotta & teal,"Panneaux patinés terracotta, bleu canard et crème, façon mur usé.","Patinated panels in terracotta, teal and cream, like a worn wall.","La façade est composée de panneaux patinés, terracotta, bleu canard, crème et vert sombre, posés en damier irrégulier. Chaque panneau a sa propre usure : la surface ressemble à un mur peint plusieurs fois puis gratté.

Les teintes chaudes et froides se répondent, ce qui rend la pièce très facile à accorder — avec un tapis berbère comme avec un canapé écru.","The front is made of patinated panels — terracotta, teal, cream and dark green — set in an irregular chequer. Each panel has its own wear: the surface looks like a wall painted several times over and then scraped back.

Warm and cool tones answer one another, which makes the piece very easy to match — with a Berber rug as much as with an ecru sofa.",0,,console-patine-terracotta-1.webp|console-patine-terracotta-2.webp|console-patine-terracotta-3.webp,,,,"Caisson bois, décor peint, piètement métal noir","Wooden case, painted decor, black metal legs",Mate,Matt,Terracotta|Bleu canard|Crème|Vert sombre,Terracotta|Teal|Cream|Dark green,oui,oui,,non
